Datum;Uhrzeit;Bilker Allee IN;Bilker Allee OUT;Christophstraße;Elisabethstraße;Fleher Deich Ost stromaufwärts;Fleher Deich west stromabwärts;Friedrichstraße;Kirchfeldstraße;Koblenzer einwärts nach TLS;Koblenzer einwärts vor TLS;Koblenzer stadtauswärts;KÖ Steinstraße;Lohauser Deich;Mannesmann Ufer;OKB Nord;OKB Süd
01.01.2018;00:00;0;0;0;0;0;0;0;1;0;0;0;1;0;2;0;0
01.01.2018;00:15;0;1;0;1;0;0;3;4;0;0;0;0;0;0;0;0
01.01.2018;00:30;0;0;1;0;0;0;0;4;0;0;0;1;0;1;0;1
01.01.2018;00:45;1;1;0;0;0;0;0;2;0;0;0;0;0;1;1;2
01.01.2018;01:00;0;0;0;0;0;0;0;0;0;0;0;0;0;9;1;1
01.01.2018;01:15;0;1;1;0;0;0;0;1;2;1;2;1;0;1;3;1
01.01.2018;01:30;0;0;1;0;0;0;0;7;0;0;2;1;0;2;0;0
01.01.2018;01:45;1;0;2;0;0;0;0;1;0;0;1;1;0;2;1;1
01.01.2018;02:00;1;0;0;0;2;2;0;2;0;0;0;0;3;0;1;0
01.01.2018;02:15;0;1;2;0;0;0;0;3;0;0;0;2;0;2;0;0
01.01.2018;02:30;2;1;2;0;0;0;0;3;0;0;0;0;0;1;0;1
01.01.2018;02:45;3;0;2;0;0;0;0;4;0;0;1;4;0;1;0;1
01.01.2018;03:00;2;1;1;0;0;0;0;3;0;0;0;0;0;3;1;0
01.01.2018;03:15;0;0;0;0;0;1;0;2;0;0;0;1;0;3;3;1
01.01.2018;03:30;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;1
01.01.2018;03:45;0;0;0;1;0;0;3;2;0;0;0;1;0;1;1;0
01.01.2018;04:00;0;0;0;1;0;0;3;3;0;0;1;0;0;3;0;0
01.01.2018;04:15;1;0;0;0;0;0;0;3;0;0;0;1;0;2;0;9
01.01.2018;04:30;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
01.01.2018;04:45;0;0;0;0;0;0;0;1;1;1;0;0;0;3;0;1
01.01.2018;05:00;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1
01.01.2018;05:15;1;1;0;0;0;0;0;2;0;0;0;0;0;1;3;1
01.01.2018;05:30;1;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0
01.01.2018;05:45;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0
01.01.2018;06:00;0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;0
01.01.2018;06:15;0;0;2;1;0;0;3;2;0;0;0;0;0;1;0;1
01.01.2018;06:30;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0
01.01.2018;06:45;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
01.01.2018;07:00;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0
01.01.2018;07:15;0;2;0;0;0;0;0;1;0;0;0;0;0;3;0;0
01.01.2018;07:30;0;0;2;0;1;0;0;3;1;1;1;0;2;0;0;1
01.01.2018;07:45;0;0;3;0;1;0;0;0;0;0;0;0;2;0;2;0
01.01.2018;08:00;0;0;2;0;0;0;0;1;1;1;0;0;0;2;0;2
01.01.2018;08:15;1;0;0;0;0;0;0;1;0;0;0;1;0;3;0;0
01.01.2018;08:30;1;0;0;1;0;0;3;2;0;0;0;1;0;4;0;0
01.01.2018;08:45;0;0;1;0;1;0;0;0;0;0;0;0;2;3;0;0
01.01.2018;09:00;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
01.01.2018;09:15;0;1;1;0;2;0;0;0;1;1;0;0;3;0;2;1
01.01.2018;09:30;1;0;0;0;0;2;0;1;0;0;0;0;0;4;2;1
01.01.2018;09:45;0;1;1;0;2;0;0;2;1;1;0;1;3;0;2;0
01.01.2018;10:00;0;0;2;0;0;0;0;1;0;0;0;0;0;3;1;1
01.01.2018;10:15;1;1;1;0;0;2;0;1;0;0;0;0;0;5;3;0
01.01.2018;10:30;0;1;1;0;0;6;0;1;3;2;0;3;0;2;5;4
01.01.2018;10:45;1;0;3;0;3;2;0;3;1;1;0;0;4;2;5;1
01.01.2018;11:00;0;1;1;1;4;2;3;4;3;2;2;2;5;12;8;3
01.01.2018;11:15;2;2;2;0;1;6;0;6;2;1;0;3;2;15;4;5
01.01.2018;11:30;0;0;3;2;0;2;5;2;2;2;1;2;0;16;2;5
01.01.2018;11:45;2;2;1;2;0;9;5;2;0;0;1;4;0;9;9;2
01.01.2018;12:00;1;0;4;1;2;5;3;5;0;0;0;1;3;9;8;3
01.01.2018;12:15;1;0;4;0;4;4;0;4;4;5;2;3;6;15;6;9
01.01.2018;12:30;2;1;5;1;5;5;3;5;4;4;2;2;7;8;10;8
01.01.2018;12:45;0;0;3;0;3;12;0;10;4;3;9;5;5;26;11;3
01.01.2018;13:00;2;2;5;3;4;5;7;5;4;4;2;4;6;16;7;2
01.01.2018;13:15;1;3;7;2;1;13;5;8;1;2;0;3;2;22;14;5
01.01.2018;13:30;0;2;3;2;21;10;5;5;2;2;3;1;24;30;12;12
01.01.2018;13:45;1;2;6;1;7;9;3;6;0;0;0;2;9;24;8;3
01.01.2018;14:00;0;1;0;1;1;9;3;7;0;0;3;6;2;18;3;6
01.01.2018;14:15;3;0;5;1;13;9;3;5;0;3;1;3;15;30;8;3
01.01.2018;14:30;0;2;2;1;1;1;3;7;0;0;2;2;2;33;9;9
01.01.2018;14:45;0;3;4;4;6;6;9;4;2;2;2;4;8;16;6;5
01.01.2018;15:00;0;2;4;2;4;0;5;8;3;2;0;5;5;21;7;21
01.01.2018;15:15;0;1;3;2;1;6;5;4;0;0;3;4;2;19;10;6
01.01.2018;15:30;1;0;3;1;3;6;3;7;1;1;0;3;5;20;11;6
01.01.2018;15:45;2;1;0;2;3;3;5;11;0;0;1;1;4;11;2;2
01.01.2018;16:00;1;2;1;1;2;4;3;0;0;0;4;6;3;11;6;4
01.01.2018;16:15;0;3;3;0;2;0;0;11;4;3;0;2;4;3;3;7
01.01.2018;16:30;3;0;1;2;1;0;5;3;1;1;1;0;2;10;3;1
01.01.2018;16:45;0;0;3;1;0;0;3;5;0;1;0;0;0;6;4;2
01.01.2018;17:00;1;0;4;3;2;0;7;0;1;1;0;4;3;9;1;4
01.01.2018;17:15;2;0;0;3;0;0;7;4;3;5;0;2;0;6;3;1
01.01.2018;17:30;0;1;0;1;0;1;3;4;0;2;0;2;0;4;1;1
01.01.2018;17:45;4;1;1;2;0;0;5;3;1;1;2;1;0;1;1;2
01.01.2018;18:00;0;0;1;1;0;1;3;1;4;3;0;1;0;1;1;1
01.01.2018;18:15;1;1;2;0;0;0;0;2;0;0;0;1;0;3;2;2
01.01.2018;18:30;0;1;0;1;0;0;3;2;0;0;0;2;0;7;2;1
01.01.2018;18:45;1;0;1;0;0;0;0;4;0;0;0;2;0;2;2;2
01.01.2018;19:00;1;0;2;0;0;0;0;3;0;1;0;0;0;1;1;0
01.01.2018;19:15;0;0;3;0;0;0;0;2;2;3;1;0;0;0;0;1
01.01.2018;19:30;1;0;1;1;0;0;3;2;0;0;1;0;0;2;1;0
01.01.2018;19:45;1;0;0;1;2;0;3;2;1;1;0;2;3;0;0;1
01.01.2018;20:00;0;0;2;3;0;0;7;3;0;0;0;1;0;1;0;1
01.01.2018;20:15;0;1;3;0;0;0;0;3;0;0;0;1;0;1;0;2
01.01.2018;20:30;0;0;0;4;0;0;9;1;0;0;0;1;0;3;2;0
01.01.2018;20:45;1;1;4;0;0;0;0;1;2;3;0;0;0;1;0;0
