Standort;LSA-Nr.;Baulastträger;Bezirk;X;Y
Alte Römerstraße / Feldkasseler Weg;6033;Stadt Köln;Chorweiler;23.550.989,5;56.562.356,4
Am Baggerfeld / Escher Straße / Bad;0650;StrNRW;Chorweiler;23.504.975,4;56.527.572,2
Blumenbergsweg / Mercatorstraße;6023;Stadt Köln;Chorweiler;23.513.255,4;56.566.051,5
Chorbuschstraße / Am Baggerfeld / Weilerstraße / Auweilerstraße;0624;StrNRW;Chorweiler;23.497.386,8;56.534.660,8
Donatusstraße / Am Pescher Holz;6041;Stadt Köln;Chorweiler;23.509.218,7;56.522.819,3
Donatusstraße / Robert-Koch-Straße / Kapellenweg;6042;Stadt Köln;Chorweiler;23.510.641,1;56.521.282,4
Edsel-Ford-Straße / Oranjehofstraße / Spessartstraße;6028;Stadt Köln;Chorweiler;23.553.254,6;56.547.244,5
Emdener Straße / Ivenshofweg;6032;Stadt Köln;Chorweiler;23.565.740,1;56.539.791,4
Emdener Straße / Wacker Chemie;6031;Stadt Köln;Chorweiler;23.562.810,9;56.543.097,8
Escher Straße / Birkenweg;6046;Stadt Köln;Chorweiler;23.509.801,7;56.519.223,2
Escher Straße / Donatusstraße;0671;StrNRW;Chorweiler;23.505.945,4;56.524.904,9
Escher Straße / Johannesstraße / Longericher Straße / Mengenicher Straße;6044;Stadt Köln;Chorweiler;23.510.409,2;56.517.823,5
Fühlinger Weg / Weilerweg;6009;Stadt Köln;Chorweiler;23.517.282,3;56.541.374,3
Longericher Straße / Donatusstraße / Elisabethstraße;6043;Stadt Köln;Chorweiler;23.512.654,6;56.519.148,0
Mengenicher Straße / Schulstraße / Heinrich-Heine-Ring;6045;Stadt Köln;Chorweiler;23.507.333,6;56.515.206,0
Merianstraße / Cosmasweg;6008;Stadt Köln;Chorweiler;23.520.689,7;56.539.068,1
Merianstraße / Elbeallee;6004;Stadt Köln;Chorweiler;23.520.718,0;56.547.183,2
Merianstraße / Fühlinger Weg;6007;Stadt Köln;Chorweiler;23.518.809,9;56.542.272,7
Merianstraße / Industriestraße;6017;Stadt Köln;Chorweiler;23.539.620,5;56.552.982,4
Merianstraße / Mercatorstraße;6005;Stadt Köln;Chorweiler;23.519.593,7;56.546.406,5
Merianstraße / Weichselring / Athener Ring;6003;Stadt Köln;Chorweiler;23.524.710,0;56.547.830,1
Merianstraße / Willi-Suth-Allee;6002;Stadt Köln;Chorweiler;23.530.405,2;56.546.614,4
Neusser Landstraße / Alte Neusser Landstraße;6036;Stadt Köln;Chorweiler;23.504.479,5;56.595.022,2
Neusser Landstraße / Bayer Dormagen-Nord;0666;StrNRW;Chorweiler;23.493.802,8;56.609.809,1
Neusser Landstraße / Bayer Dormagen-Süd;0665;StrNRW;Chorweiler;23.497.898,9;56.601.177,4
Neusser Landstraße / Chrysanthemenweg;0677;StrNRW;Chorweiler;23.540.174,4;56.539.191,9
Neusser Landstraße / Dornstraße;6037;Stadt Köln;Chorweiler;23.500.888,9;56.597.520,1
Neusser Landstraße / Fühlingen Kirche;6034;Stadt Köln;Chorweiler;23.530.276,9;56.558.103,1
