vorfallsdatum;vorfallsuhrzeit;Ortskürzel;geschwindigkeit;ueberschreitung;fahrzeugart;dienststelle;standort
10518;125;D-;81;18;04a;S-01;972
10518;243;DU-;51;18;04a;S-01;60
10518;340;GL-;72;9;04a;S-01;972
10518;556;KL-;44;11;04a;S-01;64
10518;711;SHA-;46;13;04a;S-01;6174
10518;909;K-;39;6;04a;S-01;31
10518;937;K-;39;6;04a;S-01;6174
10518;938;RE-;42;9;04a;S-01;64
10518;945;-47;61;8;04a;S-01;16
10518;1113;K-;45;12;04a;S-01;32
10518;1329;BO-;39;6;04a;S-01;64
10518;1550;BM-;60;7;04a;S-01;7
10518;1819;GM-;76;13;04a;S-01;972
10518;1900;BM-;66;13;04a;S-01;17
10518;2603;GL-;59;6;04a;S-01;10
10518;2622;ME-;62;9;04a;S-01;17
10518;2635;HH-;73;10;04a;S-01;972
10518;2635;HH-;74;11;04a;S-01;971
10518;2809;K-;46;13;04a;S-01;31
10518;2846;ME-;77;14;04a;S-01;972
10518;3329;RS-;77;14;04a;S-01;972
10518;3759;K-;47;14;04a;S-01;39
10518;3843;W-;46;13;04a;S-01;36
10518;4021;K-;89;26;04a;S-01;971
10518;4034;WI-;59;6;04a;S-01;7
10518;4058;BM-;40;7;04a;S-01;32
10518;4342;AC-;42;9;04a;S-01;64
10518;4605;SU-;61;8;04a;S-01;17
10518;4814;MI-;74;11;04a;S-01;972
10518;4854;M-;62;9;04a;S-01;17
10518;4952;D-;75;12;04a;S-01;981
10518;5334;K-;60;7;04a;S-01;9
10518;5436;K-;44;11;04a;S-01;6173
10518;5657;K-;44;11;04a;S-01;60
10518;5725;K-;59;6;04a;S-01;7
10518;5728;E-;47;14;04a;S-01;64
10518;5803;OB-;78;15;04a;S-01;972
10518;5911;AC-;60;7;04a;S-01;7
10518;10106;K-;60;7;04a;S-01;9
10518;10144;K-;59;6;04a;S-01;7
10518;10353;K-;47;14;04a;S-01;39
10518;10416;FFB-;40;7;04a;S-01;60
10518;10532;W-;62;9;04a;K-04;7018
10518;10608;BM-;86;23;04a;S-01;971
10518;10704;GL-;88;25;04a;S-01;973
10518;10720;RS-;70;7;04a;S-01;972
10518;10859;K-;80;7;04a;S-01;34
10518;10930;DO-;73;10;04a;S-01;972
10518;10943;K-;62;9;04a;S-01;9
10518;11133;WT-;70;7;04a;S-01;971
