Sto.-nr.;erl.Geschw. PKW;erl. Geschw. LKW;Standort1;Standort2;Standort3;
101;50;50;AA   Riehl                    ;Amsterdamer Str. 80-86        ;in Fahrtrichtung stadtauswärts     ;   
105;30;30;AE   Bocklemünd/Mengenich     ;Mengenicher Str Höhe Haus 20  ;in Fahrtrichtung Untere Dorfstraße ;   
107;30;30;AG   Mauenheim                ;Nibelungenstr. Haus Nr. 38/40 ;in Fahrtrichtung Merheimer Str.    ;   
108;30;30;AH   Merheim                  ;Kieskaulerweg ggü. Haus Nr.65 ;in Fahrtrichtung Kratzweg          ;   
109;30;30;AI   Sülz                     ;Berrenrather Str. Höhe 179    ;in Fahrtrichtung stadteinwärts     ;   
110;30;30;AJ   Sülz                     ;Berrenrather Str. Höhe 194    ;in Fahrtrichtung stadtauswärts     ;   
111;30;30;AK   Höhenhaus                ;Thuleweg ggü. Haus-Nr.42      ;in Fahrtrichtung Im Weidenbruch    ;   
112;50;50;AL   Zündorf                  ;Wahner Str.64 bis Kirschweg   ;in FR. Schmittgasse                ;   
113;50;50;AM   Zündorf                  ;Wahner Str. Laterne 33-Haus 73;in Fahrtrichtung Wahn              ;   
114;50;50;AN   Neustadt/Nord            ;Riehler Straße, Haus Nr. 90   ;in Fahrtrichtung Zoobrücke         ;   
115;30;30;AO   Bocklemünd/Mengenich     ;Mengenicher Straße Haus Nr. 21;in FR. Grevenbroicher Str.         ;   
116;30;30;AP   Müngersdorf              ;Belvederestr. vor Haus Nr. 149;in Fahrtrichtung Wendelinstraße    ;   
117;30;30;AQ   Müngersdorf              ;Belvederestr. vor Haus-Nr. 149;in Fahrtrichtung Gregor-Mendel-Ring;   
118;50;50;AR   Ehrenfeld                ;Melatengürtel, Laterne 85-77  ;in Fahrtrichtung Weinsbergstraße   ;   
119;50;50;AS   Ehrenfeld                ;Melatengürtel, Laterne 24-34  ;in Fahrtrichtung Fröbelstraße      ;   
120;50;50;AT   Ehrenfeld                ;Melatengürtel, Laterne 33-27  ;in Fahrtrichtung Oskar-Jäger-Straße;   
121;30;30;AU   Rondorf                  ;Reiherstr. vor Haus Nr. 19    ;in Fahrtrichtung Adlerstraße       ;   
122;30;30;AV   Rondorf                  ;Reiherstr. ggü. Haus-Nr.19    ;in Fahrtrichtung Hahnenstraße      ;   
123;30;30;AW   Bilderstöckchen          ;Escher Str. Haus-Nr. 146-150  ;in Fahrtrichtung Parkgürtel        ;   
124;50;50;AX   Holweide                 ;Isenburger Kirchweg 18 a      ;in Fahrtrichtung Ostmerheimer Str. ;   
125;50;50;AY   Holweide                 ;Isenburger Kirchweg, Nr. 36-40;in Fahrtrichtung Wichheimer Str.   ;   
126;30;30;AZ   Weiden                   ;Breslauer Str., Laterne 12-14 ;in Fahrtrichtung Ostlandstraße     ;   
127;30;30;BA   Weiden                   ;Breslauer Str., Laterne 12-14 ;in Fahrtrichtung Aachener Straße   ;   
128;30;30;BB   Raderthal                ;Markusstr. vor Haus Nr 73-79  ;in Fahrtrichtung Brühler Straße    ;   
129;30;30;BC   Raderthal                ;Markusstr. vor Haus Nr 92-102 ;in Fahrtrichtung Höninger Platz    ;   
