Sto.-nr.;erl.Geschw. PKW;erl. Geschw. LKW;Standort1;Standort2;Standort3;
1;50;50;01   Bundesstraße 55a         ;Frankfurter Straße vor Tunnel ;in Fahrtrichtung Deutz             ;   
2;80;80;02   Bundesstraße 55a         ;Höhe Waldecker Straße         ;in Fahrtrichtung Zoobrücke         ;   
3;80;80;03   Zoobrücke                ;Höhe Auenweg                  ;in Fahrtrichtung linksrheinisch    ;   
4;80;80;04   Zoobrücke                ;Strommitte                    ;in Fahrtrichtung linksrheinisch    ;   
5;60;60;05   Zoobrücke                ;Höhe Amsterdamer Straße       ;in Fahrtrichtung Nippes            ;   
6;50;50;06   Innere Kanalstraße       ;Höhe Finanzamt Nord           ;in Fahrtrichtung Ehrenfeld         ;   
7;50;50;07   Innere Kanalstraße       ;Escher Straße / Hornstraße    ;in Fahrtrichtung Süden             ;   
8;50;50;08   Innere Kanalstraße       ;Hornstraße / Escher Straße    ;in Fahrtrichtung Zoobrücke         ;   
9;50;50;09   Innere Kanalstraße       ;Höhe Finanzamt Nord           ;in Fahrtrichtung Zoobrücke         ;   
10;50;50;10   Innere Kanalstraße       ;in Höhe Lentstraße            ;in Fahrtrichtung Zoobrücke         ;   
11;50;50;11   Severinsbrücke           ;                              ;in Fahrtrichtung Deutz             ;   
12;80;80;12   Zoobrücke                ;Strommitte                    ;in Fahrtrichtung Kalk              ;   
13;80;80;13   Zoobrücke                ;Höhe Auenweg                  ;in Fahrtrichtung Kalk              ;   
14;50;50;14   Riehl                    ;An der Schanz vor Haus 2      ;in Fahrtrichtung Norden            ;   
15;50;50;15   Bundesstraße 55 a        ;Höhe Waldecker Straße         ;in Fahrtrichtung AK Köln-Ost       ;   
16;50;50;16   Aachener Str.            ;Höhe Aachener Weiher geg.130  ;in Fahrtrichtung stadtauswärts     ;   
17;50;50;17   Aachener Str.            ;Höhe Aachener Weiher          ;in Fahrtrichtung stadteinwärts     ;   
23;30;30;23   Chorweiler               ;Willi-Suth-Allee              ;in FR. Bezirksportanlage           ;   
24;30;30;24   Chorweiler               ;Willi-Suth-Allee              ;in Fahrtrichtung A 57              ;   
25;50;50;25   Riehl                    ;Boltensternstraße in Höhe SBK ;in Fahrtrichtung Barbarastraße     ;   
26;50;50;26   Riehl                    ;Boltensternstraße in Höhe SBK ;in Fahrtrichtung An der Schanz     ;   
27;30;30;27   Bilderstöckchen          ;Escher Straße Haus-Nr. 152-154;in Fahrtrichtung Parkgürtel        ;   
28;30;30;28   Bilderstöckchen          ;Escher Straße Haus-Nr. 152-154;in Fahrtrichtung Geldernstraße     ;   
29;50;50;29   Holweide                 ;Bergisch Gladbacher Straße    ;Höhe Steyler Str., in FR. Mülheim  ;   
30;50;50;30   Godorf                   ;Godorfer Hauptstr., Höhe Otto-;Hahn-Str., FR. Immendorfer Str.    ;   
31;30;30;31   Holweide                 ;Neufelder Straße Krankenhaus  ;in Fahrtrichtung Schwabstraße      ;   
32;30;30;32   Müngersdorf              ;Wendelinstraße                ;in Fahrtrichtung Vitalisstraße     ;   
33;30;30;33   Neubrück                 ;Europaring                    ;in Fahrtrichtung Ernst-Reuter-Str. ;   
34;70;70;34   Zollstock                ;Militärringstraße             ;Höhe Am Eifeltor, in FR. Marienburg;   
35;50;50;35   Raderthal                ;Raderthalgürtel               ;in Fahrtrichtung Vorgebirgstraße   ;   
36;30;30;36   Höhenhaus                ;Honschaftsstraße, Höhe Schule ;in Fahrtrichtung Am Pfropfbusch    ;   
37;30;30;37   Bilderstöckchen          ;Schiefersburger Weg           ;ggü. Hs 40, in FR. Longericher Str.;   
38;30;30;38   Vogelsang                ;Vogelsanger Straße Grundschule;in Fahrtrichtung Bickendorf        ;   
39;30;30;39   Brück                    ;Brücker Mauspfad              ;Höhe BAB-Brücke, in FR. Porz       ;   
40;30;30;40   Bilderstöckchen          ;Schiefersburger Weg ggü. Haus ;Nr.40 in Fahrtrichtung  Escher Str.;   
